Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Allow customer reviews?,Regular price,Categories,Tags,Images,Parent,Position,Meta: androapp_post_notify,Meta: pageview,Meta: _has_multi_vendor,Meta: fb_product_group_id,Meta: fb_visibility,Meta: fb_product_item_id,Meta: inactive_product_flag,Meta: pi_dcw_product_redirect,Meta: pi_dcw_product_overwrite_global,Meta: _per_product_admin_commission_type,Meta: _yoast_wpseo_primary_product_cat,Meta: _wpas_skip_22259777,Meta: _yoast_wpseo_content_score,Meta: _wpas_skip_22522829,Meta: _wpas_skip_22590529,Meta: _wpas_skip_23171279,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _lot_discount_quantity,Meta: _lot_discount_amount,Meta: _is_lot_discount,Meta: _disable_shipping,Meta: _overwrite_shipping,Meta: _publicize_twitter_user,Meta: _wpas_done_all,Meta: _yoast_wpseo_title
simple,مونت مارتي-7,"انبوبة اكريليك من مونت مارتي 75 مللي - 0008, برتقالي",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0008, برتقالي","انبوبة اكريليك من مونت مارتي 75 مللي - 0008, برتقالي",taxable,1,,0,0,1,80,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518597_6942a81b0e2c1.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0008, برتقالي","انبوبة اكريليك من مونت مارتي 75 مللي - 0008, برتقالي",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-8,"انبوبة اكريليك من مونت مارتي 75 مللي - 0020, فثالو بلو",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0020, فثالو بلو","انبوبة اكريليك من مونت مارتي 75 مللي - 0020, فثالو بلو",taxable,1,,0,0,1,70,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518632_5f876f9b4e170.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0020, فثالو بلو","انبوبة اكريليك من مونت مارتي 75 مللي - 0020, فثالو بلو",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-9,"انبوبة اكريليك من مونت مارتي 75 مللي - 0022, ازرق كوبالت",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0022, ازرق كوبالت","انبوبة اكريليك من مونت مارتي 75 مللي - 0022, ازرق كوبالت",taxable,1,,0,0,1,70,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518649_9f4c947d3c7e3.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0022, ازرق كوبالت","انبوبة اكريليك من مونت مارتي 75 مللي - 0022, ازرق كوبالت",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-10,"انبوبة اكريليك من مونت مارتي 75 مللي - 0018, اصفر ديب",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0018, اصفر ديب","انبوبة اكريليك من مونت مارتي 75 مللي - 0018, اصفر ديب",taxable,1,,0,0,1,70,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518735_3ba641dfda566.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0018, اصفر ديب","انبوبة اكريليك من مونت مارتي 75 مللي - 0018, اصفر ديب",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-11,"انبوبة اكريليك من مونت مارتي 75 مللي - 0028, تير فيرت",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0028, تير فيرت","انبوبة اكريليك من مونت مارتي 75 مللي - 0028, تير فيرت",taxable,1,,0,0,1,70,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518747_a549150cf1d64.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0028, تير فيرت","انبوبة اكريليك من مونت مارتي 75 مللي - 0028, تير فيرت",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-12,"انبوبة اكريليك من مونت مارتي 75 مللي - 0032, رو سينا",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0032, رو سينا","انبوبة اكريليك من مونت مارتي 75 مللي - 0032, رو سينا",taxable,1,,0,0,1,70,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518646_de67f14207e58.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0032, رو سينا","انبوبة اكريليك من مونت مارتي 75 مللي - 0032, رو سينا",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-13,"انبوبة اكريليك من مونت مارتي 75 مللي - 0014, روز مادير",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0014, روز مادير","انبوبة اكريليك من مونت مارتي 75 مللي - 0014, روز مادير",taxable,1,,0,0,1,70,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518612_cc2ee4e9f8b81.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0014, روز مادير","انبوبة اكريليك من مونت مارتي 75 مللي - 0014, روز مادير",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-14,"انبوبة اكريليك من مونت مارتي 75 مللي - 0029, اخضر ساب",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0029, اخضر ساب","انبوبة اكريليك من مونت مارتي 75 مللي - 0029, اخضر ساب",taxable,1,,0,0,1,70,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518592_350c97b1cbe5a.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0029, اخضر ساب","انبوبة اكريليك من مونت مارتي 75 مللي - 0029, اخضر ساب",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-15,"انبوبة اكريليك من مونت مارتي 75 مللي - 0046, نبيتي",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0046, نبيتي","انبوبة اكريليك من مونت مارتي 75 مللي - 0046, نبيتي",taxable,1,,0,0,1,80,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518602_2404c9f35c854.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0046, نبيتي","انبوبة اكريليك من مونت مارتي 75 مللي - 0046, نبيتي",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
simple,مونت مارتي-16,"انبوبة اكريليك من مونت مارتي 75 مللي - 0015, موف",1,0,visible,"انبوبة اكريليك من مونت مارتي 75 مللي - 0015, موف","انبوبة اكريليك من مونت مارتي 75 مللي - 0015, موف",taxable,1,,0,0,1,70,الوان اكريليك,#acrylic,https://our-arts.com/wp-content/uploads/products/aristo/item_XL_41518695_79f61be8ebbe8.jpg,,0,off,,,,,,,,,,,,,,,,"انبوبة اكريليك من مونت مارتي 75 مللي - 0015, موف","انبوبة اكريليك من مونت مارتي 75 مللي - 0015, موف",,,,,,,,,,,,,%%title%% %%page%% %%sep%% %%sitename%%
