ID,Type,SKU,,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Sale price,Regular price,Categories,Tags,Images,
,simple,0347,,علبة الوان زجاج فيفي كريل 6لون و ريليف,1,0,visible,علبة الوان زجاج فيفي كريل 6لون و ريليف,علبة الوان زجاج فيفي كريل 6لون و ريليف,taxable,1,0,0,,,,,1,,75,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0347.jpg,
,simple,0428,,كوب اقلام خشب 24 لون اكوريل M&G,1,0,visible,كوب اقلام خشب 24 لون اكوريل M&G,كوب اقلام خشب 24 لون اكوريل M&G,taxable,1,0,0,,,,,1,,90,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0428.jpg,
,simple,0574,,محدد زجاج 12مللي keep - قطعة,1,0,visible,محدد زجاج 12مللي keep - قطعة,محدد زجاج 12مللي keep - قطعة,taxable,1,0,0,,,,,1,,15,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0574.jpg,
,simple,0764,,الوان اكريليك ميتاليك فيفي كريل,1,0,visible,الوان اكريليك ميتاليك فيفي كريل,الوان اكريليك ميتاليك فيفي كريل,taxable,1,0,0,,,,,1,,45,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0764.jpg,
,simple,0909,,طقم سوفت باستيل 12لون keep smiling,1,0,visible,طقم سوفت باستيل 12لون keep smiling,طقم سوفت باستيل 12لون keep smiling,taxable,1,0,0,,,,,1,,10,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0909.jpg,
,simple,0910,,الوان سوفت باستيل ماريز بالقطعة,1,0,visible,الوان سوفت باستيل ماريز بالقطعة,الوان سوفت باستيل ماريز بالقطعة,taxable,1,0,0,,,,,1,,10,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/0910.jpg,
,simple,6901893100812,,الوان زيت ماريز 12 لون,1,0,visible,الوان زيت ماريز 12 لون,الوان زيت ماريز 12 لون,taxable,1,0,0,,,,,1,,85,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/6901893100812.jpg,
,simple,6928890016106,,انبوبة اكريليك مستورد 75 ملل KEEP SMILING,1,0,visible,انبوبة اكريليك مستورد 75 ملل KEEP SMILING,انبوبة اكريليك مستورد 75 ملل KEEP SMILING,taxable,1,0,0,,,,,1,,35,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/6928890016106.jpg,
,simple,6946320010562,,طقم اكريليك 6لون 12ملل,1,0,visible,طقم اكريليك 6لون 12ملل,طقم اكريليك 6لون 12ملل,taxable,1,0,0,,,,,1,,45,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/6946320010562.jpg,
,simple,6946328130781,,الوان قماش انبوبة 12لون 6ملل OPS,1,0,visible,الوان قماش انبوبة 12لون 6ملل OPS,الوان قماش انبوبة 12لون 6ملل OPS,taxable,1,0,0,,,,,1,,40,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/6946328130781.jpg,
,simple,6982252913861,,الوان زيت 12 لون 12 ملل OPS,1,0,visible,الوان زيت 12 لون 12 ملل OPS,الوان زيت 12 لون 12 ملل OPS,taxable,1,0,0,,,,,1,,60,الوان - Colors,#colors,https://our-arts.com/wp-content/uploads/products/artcastle/colors/6982252913861.jpg,
,simple,0096,,شلة خيط قطن 8م GLS,1,0,visible,شلة خيط قطن 8م GLS,شلة خيط قطن 8م GLS,taxable,1,0,0,,,,,1,,2.5,تطريز - NeedleWork,#NeedleWorks,https://our-arts.com/wp-content/uploads/products/artcastle/needle-works/0096.jpg,
,simple,0099,,طارة تطريز م 13 سم,1,0,visible,طارة تطريز م 13 سم,طارة تطريز م 13 سم,taxable,1,0,0,,,,,1,,20,تطريز - NeedleWork,#NeedleWorks,https://our-arts.com/wp-content/uploads/products/artcastle/needle-works/0099.jpg,
,simple,0100,,طارة تطريز م 17 سم,1,0,visible,طارة تطريز م 17 سم,طارة تطريز م 17 سم,taxable,1,0,0,,,,,1,,25,تطريز - NeedleWork,#NeedleWorks,https://our-arts.com/wp-content/uploads/products/artcastle/needle-works/0100.jpg,
,simple,0101,,طارة تطريز م 20 سم,1,0,visible,طارة تطريز م 20 سم,طارة تطريز م 20 سم,taxable,1,0,0,,,,,1,,30,تطريز - NeedleWork,#NeedleWorks,https://our-arts.com/wp-content/uploads/products/artcastle/needle-works/0101.jpg,
,simple,0102,,طارة تطريز م 24 سم,1,0,visible,طارة تطريز م 24 سم,طارة تطريز م 24 سم,taxable,1,0,0,,,,,1,,35,تطريز - NeedleWork,#NeedleWorks,https://our-arts.com/wp-content/uploads/products/artcastle/needle-works/0102.jpg,
,simple,0103,,طارة تطريز م 27 سم,1,0,visible,طارة تطريز م 27 سم,طارة تطريز م 27 سم,taxable,1,0,0,,,,,1,,40,تطريز - NeedleWork,#NeedleWorks,https://our-arts.com/wp-content/uploads/products/artcastle/needle-works/0103.jpg,
,simple,0877,,طارة تطريز ميني,1,0,visible,طارة تطريز ميني,طارة تطريز ميني,taxable,1,0,0,,,,,1,,10,تطريز - NeedleWork,#NeedleWorks,https://our-arts.com/wp-content/uploads/products/artcastle/needle-works/0877.jpg,
,simple,0186,,شلة خيط خيش 80م,1,0,visible,شلة خيط خيش 80م,شلة خيط خيش 80م,taxable,1,0,0,,,,,1,,1,خيش ودوبار - Sackloth,#Sackloth,https://our-arts.com/wp-content/uploads/products/artcastle/sackloth/0186.jpg,
,simple,0190,,بكرة خيش صغير,1,0,visible,بكرة خيش صغير,بكرة خيش صغير,taxable,1,0,0,,,,,1,,45,خيش ودوبار - Sackloth,#Sackloth,https://our-arts.com/wp-content/uploads/products/artcastle/sackloth/0190.jpg,
,simple,0191,,بكرة خيط خيش جامبو,1,0,visible,بكرة خيط خيش جامبو,بكرة خيط خيش جامبو,taxable,1,0,0,,,,,1,,150,خيش ودوبار - Sackloth,#Sackloth,https://our-arts.com/wp-content/uploads/products/artcastle/sackloth/0191.jpg,
,simple,0192,,"حبل خيش مجدول - ""بالمتر""",1,0,visible,"حبل خيش مجدول - ""بالمتر""","حبل خيش مجدول - ""بالمتر""",taxable,1,0,0,,,,,1,,7,خيش ودوبار - Sackloth,#Sackloth,https://our-arts.com/wp-content/uploads/products/artcastle/sackloth/0192.jpg,
,simple,0322,,شريط جوت 2.5سم,1,0,visible,شريط جوت 2.5سم,شريط جوت 2.5سم,taxable,1,0,0,,,,,1,,5,خيش ودوبار - Sackloth,#Sackloth,https://our-arts.com/wp-content/uploads/products/artcastle/sackloth/0322.jpg,
,simple,0644,,حبل كتان 5 ملل,1,0,visible,حبل كتان 5 ملل,حبل كتان 5 ملل,taxable,1,0,0,,,,,1,,5,خيش ودوبار - Sackloth,#Sackloth,https://our-arts.com/wp-content/uploads/products/artcastle/sackloth/0644.jpg,
,simple,0672,,بكرة خيط دوبار رفيع,1,0,visible,بكرة خيط دوبار رفيع,بكرة خيط دوبار رفيع,taxable,1,0,0,,,,,1,,22,خيش ودوبار - Sackloth,#Sackloth,https://our-arts.com/wp-content/uploads/products/artcastle/sackloth/0672.jpg,
,simple,0933,,خيش ملون نسيج ضيق,1,0,visible,خيش ملون نسيج ضيق,خيش ملون نسيج ضيق,taxable,1,0,0,,,,,1,,35,خيش ودوبار - Sackloth,#Sackloth,https://our-arts.com/wp-content/uploads/products/artcastle/sackloth/0933.jpg,×
,simple,0003,,منظم براد شاى,1,0,visible,منظم براد شاى,منظم براد شاى,taxable,1,0,0,,,,,1,,85,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0003.jpg,×
,simple,0004,,منظم ريموتات,1,0,visible,منظم ريموتات,منظم ريموتات,taxable,1,0,0,,,,,1,,75,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0004.jpg,
,simple,0013,,برواز مسطح,1,0,visible,برواز مسطح,برواز مسطح,taxable,1,0,0,,,,,1,,35,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0013.jpg,
,simple,0088,,صينية فانوس رمضان,1,0,visible,صينية فانوس رمضان,صينية فانوس رمضان,taxable,1,0,0,,,,,1,,100,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0088.jpg,
,simple,0328,,كوستر بالقطعة,1,0,visible,كوستر بالقطعة,كوستر بالقطعة,taxable,1,0,0,,,,,1,,5,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0328.jpg,
,simple,0448,,نجمة اسلامية 20سم,1,0,visible,نجمة اسلامية 20سم,نجمة اسلامية 20سم,taxable,1,0,0,,,,,1,,40,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0448.jpg,
,simple,0449,,نجمة اسلامية 15سم,1,0,visible,نجمة اسلامية 15سم,نجمة اسلامية 15سم,taxable,1,0,0,,,,,1,,30,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0449.jpg,
,simple,0469,,علبة مناديل مربعة,1,0,visible,علبة مناديل مربعة,علبة مناديل مربعة,taxable,1,0,0,,,,,1,,70,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0469.jpg,
,simple,0530,,باسكيت 20*20*25,1,0,visible,باسكيت 20*20*25,باسكيت 20*20*25,taxable,1,0,0,,,,,1,,55,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/530-531.jpg,
,simple,0531,,باسكيت 23*23*30,1,0,visible,باسكيت 23*23*30,باسكيت 23*23*30,taxable,1,0,0,,,,,1,,70,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/530-531.jpg,
,simple,0651,,منظم خشب بدرجين,1,0,visible,منظم خشب بدرجين,منظم خشب بدرجين,taxable,1,0,0,,,,,1,,150,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0651.jpg,
,simple,0652,,منظم مراية خشب بدرجين,1,0,visible,منظم مراية خشب بدرجين,منظم مراية خشب بدرجين,taxable,1,0,0,,,,,1,,200,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0652.jpg,
,simple,0653,,نجمة إسلامي 30 سم,1,0,visible,نجمة إسلامي 30 سم,نجمة إسلامي 30 سم,taxable,1,0,0,,,,,1,,40,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0653.jpg,
,simple,0740,,صينية mdf بدرج,1,0,visible,صينية mdf بدرج,صينية mdf بدرج,taxable,1,0,0,,,,,1,,180,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0740.jpg,
,simple,0741,,مقلمة mdf,1,0,visible,مقلمة mdf,مقلمة mdf,taxable,1,0,0,,,,,1,,70,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0741.jpg,
,simple,0826,,دائرة 15 سم,1,0,visible,دائرة 15 سم,دائرة 15 سم,taxable,1,0,0,,,,,1,,20,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0826.jpg,
,simple,0827,,دائرة 20 سم,1,0,visible,دائرة 20 سم,دائرة 20 سم,taxable,1,0,0,,,,,1,,25,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0827.jpg,
,simple,0828,,دائرة 25 سم,1,0,visible,دائرة 25 سم,دائرة 25 سم,taxable,1,0,0,,,,,1,,30,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0828.jpg,
,simple,0830,,دائرة 30 سم,1,0,visible,دائرة 30 سم,دائرة 30 سم,taxable,1,0,0,,,,,1,,35,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0830.jpg,
,simple,0831,,دائرة 35 سم,1,0,visible,دائرة 35 سم,دائرة 35 سم,taxable,1,0,0,,,,,1,,40,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0831.jpg,
,simple,0832,,دائرة 40 سم,1,0,visible,دائرة 40 سم,دائرة 40 سم,taxable,1,0,0,,,,,1,,45,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0832.jpg,
,simple,0833,,دائرة 5 سم,1,0,visible,دائرة 5 سم,دائرة 5 سم,taxable,1,0,0,,,,,1,,4,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0833.jpg,
,simple,0834,,دائرة 4 سم,1,0,visible,دائرة 4 سم,دائرة 4 سم,taxable,1,0,0,,,,,1,,3,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0834.jpg,
,simple,0851,,بوكس 20*25*9,1,0,visible,بوكس 20*25*9,بوكس 20*25*9,taxable,1,0,0,,,,,1,,75,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0851.jpg,
,simple,0853,,بوكس 25*25*9,1,0,visible,بوكس 25*25*9,بوكس 25*25*9,taxable,1,0,0,,,,,1,,85,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0853.jpg,
,simple,0854,,بوكس 24*17*9 مقسم,1,0,visible,بوكس 24*17*9 مقسم,بوكس 24*17*9 مقسم,taxable,1,0,0,,,,,1,,90,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0854.jpg,
,simple,0856,,باسكيت 23*23*30 برجل,1,0,visible,باسكيت 23*23*30 برجل,باسكيت 23*23*30 برجل,taxable,1,0,0,,,,,1,,80,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0856-0857.jpg,
,simple,0857,,باسكيت 20*20*25 برجل,1,0,visible,باسكيت 20*20*25 برجل,باسكيت 20*20*25 برجل,taxable,1,0,0,,,,,1,,70,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0856-0857.jpg,
,simple,0858,,صينية مدورة بيد حفر ك,1,0,visible,صينية مدورة بيد حفر ك,صينية مدورة بيد حفر ك,taxable,1,0,0,,,,,1,,100,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0858-0859-0860.jpg,
,simple,0859,,صينية مدورة بيد حفر و,1,0,visible,صينية مدورة بيد حفر و,صينية مدورة بيد حفر و,taxable,1,0,0,,,,,1,,90,اخشاب ديكوباج - Decoupage Woods,#Decoupage_Woods,https://our-arts.com/wp-content/uploads/products/artcastle/decoupage-woods/0858-0859-0860.jpg,
